date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2021-09-30,3541.93,3572.43,3568.17,3541.93,3956296.25,31.88,0.9,3580.516,3605.057,3627.215,4620834.25,4856270.33,5364540.81
2021-09-29,3573.52,3573.52,3536.29,3518.05,4525111.5,-65.93,-1.83,3595.326,3614.5,3626.003,4899566.0,5025593.1,5428828.53
2021-09-28,3577.89,3610.92,3602.22,3568.82,4441688.0,19.39,0.54,3613.766,3632.408,3625.596,4939135.8,5130565.95,5458965.8
2021-09-27,3625.96,3640.81,3582.83,3559.92,5108028.0,-30.24,-0.84,3616.116,3642.497,3621.593,5084498.6,5321597.6,5464554.35
2021-09-24,3637.87,3651.43,3613.07,3607.79,5073047.5,-29.15,-0.8,3620.968,3653.527,3617.535,5156375.9,5415605.15,5460604.53
2021-09-23,3651.27,3670.95,3642.22,3632.28,5349955.0,13.73,0.38,3629.598,3659.739,3613.9,5091706.4,5494736.6,5431975.65
2021-09-22,3563.21,3629.45,3628.49,3560.5,4722960.5,14.52,0.4,3633.674,3663.176,3607.513,5151620.2,5507463.0,5379596.13
2021-09-17,3595.27,3620.96,3613.97,3569.27,5168502.0,6.88,0.19,3651.05,3662.513,3599.945,5321996.1,5556880.25,5335811.83
2021-09-16,3664.84,3677.92,3607.09,3606.73,5467414.5,-49.13,-1.34,3668.878,3659.289,3590.613,5558696.6,5654562.4,5272955.19
2021-09-15,3651.16,3677.53,3656.22,3638.32,4749700.0,-6.38,-0.17,3686.086,3658.284,3583.536,5674834.4,5680505.0,5190775.98
2021-09-14,3709.63,3723.85,3662.6,3655.63,5649524.0,-52.77,-1.42,3689.88,3649.372,3574.989,5897766.8,5872811.3,5147892.85
2021-09-13,3699.25,3716.83,3715.37,3692.82,5574840.0,12.26,0.33,3692.678,3637.506,3564.208,5863305.8,5832063.95,5076859.55
2021-09-10,3691.19,3722.87,3703.11,3681.64,6352004.5,9.98,0.27,3673.976,3618.784,3554.307,5791764.4,5787365.65,4993667.41
2021-09-09,3666.82,3693.45,3693.13,3662.16,6048103.5,17.94,0.49,3649.7,3600.689,3544.966,5750428.2,5607511.1,4865160.83
2021-09-08,3673.4,3695.32,3675.19,3661.0,5864362.0,-1.4,-0.04,3630.482,3581.542,3536.547,5686175.6,5505603.9,4753292.95
2021-09-07,3621.71,3681.93,3676.59,3615.14,5477219.0,54.73,1.51,3608.864,3568.061,3529.418,5847855.8,5369214.7,4651966.63
2021-09-06,3580.14,3626.29,3621.86,3580.14,5217133.0,40.13,1.12,3582.334,3551.849,3522.085,5800822.1,5251729.25,4550662.18
2021-09-03,3602.74,3613.95,3581.73,3569.4,6145323.5,-15.31,-0.43,3563.592,3537.376,3515.724,5782966.9,5114743.4,4464760.58
2021-09-02,3559.9,3597.37,3597.04,3557.68,5726840.5,29.94,0.84,3551.678,3521.936,3509.549,5464594.0,4891347.98,4325906.6
2021-09-01,3543.87,3582.32,3567.1,3514.67,6672763.0,23.16,0.65,3532.602,3508.787,3503.024,5325032.2,4701046.95,4213783.04
2021-08-31,3519.02,3543.94,3543.94,3496.39,5242050.5,15.79,0.45,3527.258,3500.606,3498.53,4890573.6,4422974.4,4054517.0
2021-08-30,3535.07,3539.49,3528.15,3512.99,5127857.0,5.99,0.17,3521.364,3490.91,3493.733,4702636.4,4321655.15,3992763.51
2021-08-27,3494.42,3530.19,3522.16,3493.38,4553459.0,20.5,0.58,3511.16,3489.829,3490.54,4446519.9,4199969.18,3952834.59
2021-08-26,3537.31,3537.32,3501.66,3499.45,5029031.5,-38.72,-1.09,3492.194,3489.243,3484.3,4318101.95,4122810.55,3915882.11
2021-08-25,3517.92,3540.39,3540.38,3510.07,4500470.0,25.91,0.74,3484.972,3491.551,3479.803,4077061.7,4000982.0,3836715.25
2021-08-24,3482.27,3522.7,3514.47,3481.14,4302364.5,37.34,1.07,3473.954,3490.775,3470.863,3955375.2,3934718.55,3809604.46
2021-08-23,3436.8,3481.25,3477.13,3436.67,3847274.5,49.8,1.45,3460.456,3492.321,3464.199,3940673.9,3849595.1,3829023.96
2021-08-20,3442.51,3453.15,3427.33,3394.97,3911369.25,-38.22,-1.1,3468.498,3494.071,3463.714,3953418.45,3814777.75,3858101.34
2021-08-19,3475.3,3480.46,3465.55,3446.01,3823830.25,-19.74,-0.57,3486.292,3497.161,3469.868,3927519.15,3760465.23,3885743.5
2021-08-18,3442.35,3487.44,3485.29,3437.69,3892037.5,38.31,1.11,3498.13,3497.261,3475.327,3924902.3,3726519.13,3885085.51
2021-08-17,3512.11,3531.72,3446.98,3438.12,4228858.0,-70.36,-2.0,3507.596,3496.454,3479.195,3914061.9,3686059.6,3859973.01
2021-08-16,3514.34,3537.85,3517.34,3510.9,3910997.25,1.04,0.03,3524.186,3496.555,3483.686,3758516.3,3663871.88,3795420.41
2021-08-13,3514.47,3540.08,3516.3,3500.8,3781872.75,-8.44,-0.24,3519.644,3491.25,3484.775,3676137.05,3705700.0,3768251.03
2021-08-12,3522.72,3538.4,3524.74,3513.45,3810746.0,-7.88,-0.22,3508.03,3479.356,3485.925,3593411.3,3708953.68,3762164.78
2021-08-11,3527.11,3544.09,3532.62,3524.04,3837835.5,2.69,0.08,3496.392,3468.054,3487.917,3528135.95,3672448.5,3753257.06
