date,open,close,high,low,volume
2007-10-18,6031.92,5825.28,6055.47,5804.97,6980
2007-10-19,5869.12,5818.05,5932.11,5766.86,5522
2007-10-22,5742.79,5667.33,5804.84,5654.91,5443
2007-10-23,5660.07,5773.39,5776.02,5574.84,5845
2007-10-24,5804.02,5843.11,5906.69,5793.56,6029
2007-10-25,5794.22,5562.39,5819.88,5546.04,7171
2007-10-26,5498.86,5589.63,5628.83,5462.01,5151
2007-10-29,5641.98,5748.0,5750.25,5617.98,5016
2007-10-30,5769.2,5897.19,5899.65,5701.34,5427
2007-10-31,5984.71,5954.77,6002.12,5871.48,7102
2007-11-01,5978.94,5914.29,6005.13,5912.5,6488
2007-11-02,5812.46,5777.81,5860.59,5740.4,5954
2007-11-05,5748.18,5634.45,5787.23,5603.47,6413
2007-11-06,5593.35,5536.57,5649.75,5510.16,4506
2007-11-07,5565.65,5601.78,5610.95,5469.76,4273
2007-11-08,5559.15,5330.02,5559.15,5328.2,4892
2007-11-09,5276.01,5315.54,5382.7,5217.63,4734
2007-11-12,5181.17,5187.73,5250.08,5032.58,5258
2007-11-13,5239.34,5158.12,5311.7,5085.44,4923
2007-11-14,5246.57,5412.69,5414.61,5165.06,5099
2007-11-15,5391.02,5365.27,5453.74,5338.9,4781
2007-11-16,5273.08,5316.27,5335.51,5224.31,3738
2007-11-19,5325.3,5269.82,5333.09,5240.42,4109
2007-11-20,5230.74,5293.7,5338.17,5158.54,4905
2007-11-21,5307.79,5214.23,5344.93,5206.57,4123
2007-11-22,5113.88,4984.16,5154.86,4969.89,4037
2007-11-23,4946.26,5032.13,5034.23,4896.99,3087
2007-11-26,5102.53,4958.85,5124.89,4952.43,3675
2007-11-27,4919.91,4861.11,4947.08,4857.04,3083
2007-11-28,4870.84,4803.39,4907.76,4778.73,3275
2007-11-29,4870.86,5003.33,5011.19,4814.78,5007
2007-11-30,4993.74,4871.78,4993.74,4861.86,4331
2007-12-03,4838.56,4868.61,4899.67,4798.01,5375
2007-12-04,4882.15,4915.89,4971.4,4882.15,4283
2007-12-05,4917.37,5042.65,5052.75,4893.32,5429
2007-12-06,5055.83,5035.07,5065.51,4995.47,4315
2007-12-07,5038.48,5091.76,5096.8,5021.37,4996
2007-12-10,5010.83,5161.92,5168.76,4990.72,6881
2007-12-11,5180.54,5175.08,5209.71,5103.75,6684
2007-12-12,5148.25,5095.54,5149.93,5054.56,7215
2007-12-13,5078.18,4958.04,5095.15,4954.36,6728
2007-12-14,4899.75,5007.91,5011.2,4860.16,5305
2007-12-17,5007.29,4876.76,5007.35,4874.62,6354
2007-12-18,4856.47,4836.17,4905.49,4812.16,4055
2007-12-19,4878.07,4941.78,4960.42,4868.35,5627
