date,上证综指,创业板
2012-02-23,2409.55,756.9
2012-02-24,2439.63,762.29
2012-02-27,2447.06,760.37
2012-02-28,2451.86,747.77
2012-02-29,2428.49,735.34
2012-03-01,2426.11,743.15
2012-03-02,2460.69,757.67
2012-03-05,2445.0,759.37
2012-03-06,2410.45,750.84
2012-03-07,2394.79,749.27
2012-03-08,2420.28,761.7
2012-03-09,2439.46,777.69
2012-03-12,2434.86,786.05
2012-03-13,2455.79,792.38
2012-03-14,2391.23,756.46
2012-03-15,2373.77,746.44
2012-03-16,2404.74,765.56
2012-03-19,2410.18,779.56
2012-03-20,2376.84,755.58
2012-03-21,2378.2,751.79
2012-03-22,2375.77,750.85
2012-03-23,2349.54,737.89
2012-03-26,2350.6,737.21
2012-03-27,2347.18,735.73
2012-03-28,2284.88,698.49
2012-03-29,2252.16,683.96
2012-03-30,2262.79,678.52
2012-04-05,2302.24,697.75
2012-04-06,2306.55,701.9
2012-04-09,2285.78,689.72
2012-04-10,2305.86,697.16
2012-04-11,2308.93,698.49
2012-04-12,2350.86,713.12
2012-04-13,2359.16,718.96
2012-04-16,2357.03,716.23
2012-04-17,2334.99,709.14
2012-04-18,2380.85,723.46
2012-04-19,2378.63,725.12
2012-04-20,2406.86,728.72
2012-04-23,2388.59,690.43
2012-04-24,2388.83,681.53
2012-04-25,2406.81,682.52
2012-04-26,2404.7,678.44
2012-04-27,2396.32,685.13
2012-05-02,2438.44,693.61
2012-05-03,2440.08,699.31
2012-05-04,2452.01,713.19
2012-05-07,2451.95,733.04
2012-05-08,2448.88,731.72
2012-05-09,2408.59,719.35
2012-05-10,2410.23,727.28
2012-05-11,2394.98,721.08
2012-05-14,2380.73,719.87
2012-05-15,2374.84,720.11
2012-05-16,2346.19,709.96
2012-05-17,2378.89,716.17
2012-05-18,2344.52,706.22
2012-05-21,2348.3,704.8
2012-05-22,2373.31,714.66
2012-05-23,2363.44,713.02
2012-05-24,2350.97,712.58
2012-05-25,2333.55,702.72
2012-05-28,2361.37,706.47
2012-05-29,2389.64,720.45
2012-05-30,2384.67,727.19
2012-05-31,2372.23,734.45
2012-06-01,2373.44,734.26
2012-06-04,2308.55,717.1
2012-06-05,2311.92,715.93
2012-06-06,2309.55,715.24
2012-06-07,2293.13,711.43
2012-06-08,2281.45,713.92
2012-06-11,2305.86,734.5
2012-06-12,2289.79,735.29
2012-06-13,2318.92,746.51
2012-06-14,2295.95,740.97
2012-06-15,2306.85,742.27
2012-06-18,2316.05,752.98
2012-06-19,2300.79,747.49
2012-06-20,2292.88,748.39
2012-06-21,2260.88,739.05
2012-06-25,2224.11,720.6
2012-06-26,2222.07,715.92
2012-06-27,2216.93,718.93
2012-06-28,2195.84,711.14
2012-06-29,2225.43,726.68
2012-07-02,2226.11,741.19
2012-07-03,2229.19,743.9
2012-07-04,2227.31,739.62
2012-07-05,2201.35,724.31
2012-07-06,2223.58,737.29
