date,open,close,high,low,volume,ma5,ma20,macd,macdsignal,macdhist
2021-08-04,3442.94,3477.22,3477.6,3440.78,34874,3439.72,3498.44,-30.27,-25.93,-4.34
2021-08-05,3461.72,3466.55,3486.16,3449.39,34843,3450.68,3495.49,-27.93,-26.33,-1.6
2021-08-06,3465.48,3458.23,3466.39,3436.93,33682,3462.86,3492.2,-26.45,-26.36,-0.09
2021-08-09,3441.75,3494.63,3502.84,3438.7,34991,3468.92,3489.54,-22.08,-25.5,3.42
2021-08-10,3488.66,3529.93,3529.93,3477.06,34511,3485.31,3487.71,-15.59,-23.52,7.93
2021-08-11,3527.11,3532.62,3544.09,3524.04,38378,3496.39,3487.92,-10.12,-20.84,10.72
2021-08-12,3522.72,3524.74,3538.4,3513.45,38107,3508.03,3485.92,-6.34,-17.94,11.6
2021-08-13,3514.47,3516.3,3540.08,3500.8,37818,3519.64,3484.77,-3.98,-15.15,11.17
2021-08-16,3514.34,3517.34,3537.85,3510.9,39109,3524.19,3483.69,-2.01,-12.52,10.51
2021-08-17,3512.11,3446.98,3531.72,3438.12,42288,3507.6,3479.2,-6.05,-11.23,5.18
2021-08-18,3442.35,3485.29,3487.44,3437.69,38920,3498.13,3475.33,-6.09,-10.2,4.11
2021-08-19,3475.3,3465.55,3480.46,3446.01,38238,3486.29,3469.87,-7.63,-9.68,2.06
2021-08-20,3442.51,3427.33,3453.15,3394.97,39113,3468.5,3463.71,-11.79,-10.11,-1.69
2021-08-23,3436.8,3477.13,3481.25,3436.67,38472,3460.46,3464.2,-10.95,-10.27,-0.68
2021-08-24,3482.27,3514.47,3522.7,3481.14,43023,3473.95,3470.86,-7.19,-9.66,2.47
2021-08-25,3517.92,3540.38,3540.39,3510.07,45004,3484.97,3479.8,-2.09,-8.14,6.05
2021-08-26,3537.31,3501.66,3537.32,3499.45,50290,3492.19,3484.3,-1.16,-6.75,5.59
2021-08-27,3494.42,3522.16,3530.19,3493.38,45534,3511.16,3490.54,1.21,-5.15,6.37
2021-08-30,3535.07,3528.15,3539.49,3512.99,51278,3521.36,3493.73,3.54,-3.42,6.96
2021-08-31,3519.02,3543.94,3543.94,3496.39,52420,3527.26,3498.53,6.58,-1.42,8.0
2021-09-01,3543.87,3567.1,3582.32,3514.67,66727,3532.6,3503.02,10.74,1.01,9.72
2021-09-02,3559.9,3597.04,3597.37,3557.68,57268,3551.68,3509.55,16.26,4.06,12.2
2021-09-03,3602.74,3581.73,3613.95,3569.4,61453,3563.59,3515.72,19.18,7.09,12.09
2021-09-06,3580.14,3621.86,3626.29,3580.14,52171,3582.33,3522.09,24.45,10.56,13.89
2021-09-07,3621.71,3676.59,3681.93,3615.14,54772,3608.86,3529.42,32.66,14.98,17.68
2021-09-08,3673.4,3675.19,3695.32,3661.0,58643,3630.48,3536.55,38.62,19.71,18.91
2021-09-09,3666.82,3693.13,3693.45,3662.16,60481,3649.7,3544.97,44.27,24.62,19.65
2021-09-10,3691.19,3703.11,3722.87,3681.64,63520,3673.98,3554.31,49.0,29.5,19.5
2021-09-13,3699.25,3715.37,3716.83,3692.82,55748,3692.68,3564.21,53.12,34.22,18.9
2021-09-14,3709.63,3662.6,3723.85,3655.63,56495,3689.88,3574.99,51.53,37.68,13.85
2021-09-15,3651.16,3656.22,3677.53,3638.32,47497,3686.09,3583.54,49.19,39.98,9.21
2021-09-16,3664.84,3607.09,3677.92,3606.73,54674,3668.88,3590.61,42.88,40.56,2.31
2021-09-17,3595.27,3613.97,3620.96,3569.27,51685,3651.05,3599.94,37.99,40.05,-2.06
2021-09-22,3563.21,3628.49,3629.45,3560.5,47229,3633.67,3607.51,34.89,39.01,-4.13
2021-09-23,3651.27,3642.22,3670.95,3632.28,53499,3629.6,3613.9,33.15,37.84,-4.69
2021-09-24,3637.87,3613.07,3651.43,3607.79,50730,3620.97,3617.53,29.09,36.09,-7.0
2021-09-27,3625.96,3582.83,3640.81,3559.92,51080,3616.12,3621.59,23.17,33.51,-10.34
2021-09-28,3577.89,3602.22,3610.92,3568.82,44416,3613.77,3625.6,19.81,30.77,-10.96
